example_id                                                           | status | run_time        |
-------------------------------------------------------------------- | ------ | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed | 0.00322 seconds |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed | 0.00015 seconds |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed | 0.00011 seconds |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed | 0.00017 seconds |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed | 0.00015 seconds |
./spec/cli/command_spec.rb[1:1:1]                                    | passed | 0.00079 seconds |
./spec/cli/command_spec.rb[1:1:2]                                    | passed | 0.00028 seconds |
./spec/cli/command_spec.rb[1:1:3]                                    | passed | 0.00046 seconds |
./spec/cli/config_spec.rb[1:1:1]                                     | passed | 0.00124 seconds |
./spec/cli/config_spec.rb[1:2:1]                                     | passed | 0.00082 seconds |
./spec/cli/config_spec.rb[1:3:1]                                     | passed | 0.00063 seconds |
./spec/cli/config_spec.rb[1:3:2]                                     | passed | 0.00058 seconds |
./spec/cli/config_spec.rb[1:3:3]                                     | passed | 0.00104 seconds |
./spec/cli/config_spec.rb[1:3:4]                                     | passed | 0.00061 seconds |
./spec/cli/config_spec.rb[1:3:5]                                     | passed | 0.00058 seconds |
./spec/cli/config_spec.rb[1:3:6]                                     | passed | 0.00078 seconds |
./spec/cli/config_spec.rb[1:3:7]                                     | passed | 0.00061 seconds |
./spec/cli/config_spec.rb[1:3:8]                                     | passed | 0.00056 seconds |
./spec/cli/config_spec.rb[1:3:9]                                     | passed | 0.00064 seconds |
./spec/cli/config_spec.rb[1:3:10]                                    | passed | 0.00063 seconds |
./spec/cli/config_spec.rb[1:4:1]                                     | passed | 0.00059 seconds |
./spec/cli/config_spec.rb[1:4:2]                                     | passed | 0.00067 seconds |
./spec/cli/config_spec.rb[1:4:3]                                     | passed | 0.00068 seconds |
./spec/cli/config_spec.rb[1:4:4]                                     | passed | 0.00079 seconds |
